tiempo_inicio,tiempo_fin,user_id,tipo_solicitud,texto_solicitud,caracteristicas,demanda_predicha,servidor_asignado,tiempo_asignacion,tiempo_espera
2024-12-24 01:51:06,2024-12-24 01:51:10,user_avanzado_1,compleja,Análisis avanzado de datos,"{""demanda_predicha"": 3.2124698162078857, ""longitud"": 26, ""tipo"": ""compleja""}",3.2124698162078857,encolada,1.5746324062347412,4.208843231201172
2024-12-24 01:51:08,2024-12-24 01:51:11,user_basico_2,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7075049877166748,2.5047969818115234
2024-12-24 01:51:07,2024-12-24 01:51:11,user_intermedio_1,compleja,Análisis de datos de mi cuenta,"{""demanda_predicha"": 3.2025277614593506, ""longitud"": 30, ""tipo"": ""compleja""}",3.2025277614593506,encolada,1.6393418312072754,4.313198089599609
2024-12-24 01:51:11,2024-12-24 01:51:13,user_avanzado_3,compleja,Predicciones de mercado,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.6870143413543701,2.400822162628174
2024-12-24 01:51:12,2024-12-24 01:51:15,user_intermedio_1,simple,Duda sobre la factura,"{""demanda_predicha"": 1.322662353515625, ""longitud"": 21, ""tipo"": ""simple""}",1.322662353515625,encolada,0.635657787322998,2.4041099548339844
2024-12-24 01:51:16,2024-12-24 01:51:18,user_intermedio_2,simple,Cambiar mi suscripción,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.6790561676025391,2.3463497161865234
2024-12-24 01:51:15,2024-12-24 01:51:18,user_basico_1,simple,Información de contacto,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.6312918663024902,3.022117853164673
2024-12-24 01:51:15,2024-12-24 01:51:21,user_avanzado_3,codigo,Ejecución de código Python complejo,"{""demanda_predicha"": 4.088248252868652, ""longitud"": 35, ""tipo"": ""codigo""}",4.088248252868652,encolada,2.367177724838257,6.2114832401275635
2024-12-24 01:51:22,2024-12-24 01:51:24,user_avanzado_1,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.6818482875823975,2.4868357181549072
2024-12-24 01:51:21,2024-12-24 01:51:24,user_intermedio_1,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7424933910369873,2.9121336936950684
2024-12-24 01:51:22,2024-12-24 01:51:24,user_basico_3,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7512557506561279,2.543882131576538
2024-12-24 01:51:25,2024-12-24 01:51:28,user_avanzado_2,codigo,Automatización de tareas con scripts,"{""demanda_predicha"": 1.3128812313079834, ""longitud"": 36, ""tipo"": ""simple""}",1.3128812313079834,encolada,0.8332393169403076,2.7737934589385986
2024-12-24 01:51:27,2024-12-24 01:51:29,user_basico_3,simple,Consulta general,"{""demanda_predicha"": 1.3309229612350464, ""longitud"": 16, ""tipo"": ""simple""}",1.3309229612350464,encolada,0.6798505783081055,2.2957444190979004
2024-12-24 01:51:26,2024-12-24 01:51:29,user_intermedio_1,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7751202583312988,3.1144297122955322
2024-12-24 01:51:29,2024-12-24 01:51:31,user_avanzado_2,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.9335012435913086,2.8713183403015137
2024-12-24 01:51:30,2024-12-24 01:51:33,user_intermedio_2,simple,Duda sobre la factura,"{""demanda_predicha"": 1.322662353515625, ""longitud"": 21, ""tipo"": ""simple""}",1.322662353515625,encolada,0.6363813877105713,2.992757797241211
2024-12-24 01:51:31,2024-12-24 01:51:34,user_basico_1,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7217121124267578,2.4625742435455322
2024-12-24 01:51:36,2024-12-24 01:51:38,user_intermedio_2,codigo,Prueba de API,"{""demanda_predicha"": 1.3355480432510376, ""longitud"": 13, ""tipo"": ""simple""}",1.3355480432510376,encolada,0.4982106685638428,2.153520107269287
2024-12-24 01:51:33,2024-12-24 01:51:39,user_avanzado_1,codigo,Ejecución de código Python complejo,"{""demanda_predicha"": 4.088248252868652, ""longitud"": 35, ""tipo"": ""codigo""}",4.088248252868652,encolada,2.237492322921753,6.230295419692993
2024-12-24 01:51:38,2024-12-24 01:51:40,user_basico_3,simple,Información de contacto,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.5768370628356934,2.420860528945923
2024-12-24 01:51:41,2024-12-24 01:51:43,user_intermedio_1,codigo,Ejecución de script simple,"{""demanda_predicha"": 1.3143941164016724, ""longitud"": 26, ""tipo"": ""simple""}",1.3143941164016724,encolada,0.6361556053161621,2.3786768913269043
2024-12-24 01:51:40,2024-12-24 01:51:46,user_avanzado_3,codigo,Depuración de código,"{""demanda_predicha"": 4.321068286895752, ""longitud"": 20, ""tipo"": ""codigo""}",4.321068286895752,encolada,2.216294050216675,5.569979429244995
2024-12-24 01:51:45,2024-12-24 01:51:47,user_intermedio_3,simple,Cambiar mi suscripción,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.6777489185333252,2.2992358207702637
2024-12-24 01:51:45,2024-12-24 01:51:48,user_basico_1,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7892870903015137,3.0806682109832764
2024-12-24 01:51:47,2024-12-24 01:51:49,user_avanzado_3,compleja,Predicciones de mercado,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.5543830394744873,2.191514492034912
2024-12-24 01:51:49,2024-12-24 01:51:52,user_intermedio_3,compleja,Solicitud de integración con API,"{""demanda_predicha"": 1.3107144832611084, ""longitud"": 32, ""tipo"": ""simple""}",1.3107144832611084,encolada,0.8292210102081299,3.1907424926757812
2024-12-24 01:51:50,2024-12-24 01:51:53,user_avanzado_1,compleja,Informe de rendimiento personalizado,"{""demanda_predicha"": 1.3128812313079834, ""longitud"": 36, ""tipo"": ""simple""}",1.3128812313079834,encolada,0.8973455429077148,3.1587259769439697
2024-12-24 01:51:52,2024-12-24 01:51:55,user_basico_3,simple,Información de contacto,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.790102481842041,2.8910746574401855
2024-12-24 01:51:54,2024-12-24 01:51:56,user_intermedio_3,compleja,Solicitud de integración con API,"{""demanda_predicha"": 1.3107144832611084, ""longitud"": 32, ""tipo"": ""simple""}",1.3107144832611084,encolada,0.6604626178741455,2.53373646736145
2024-12-24 01:51:54,2024-12-24 01:51:57,user_avanzado_3,compleja,Predicciones de mercado,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.6955258846282959,2.4251487255096436
2024-12-24 01:51:58,2024-12-24 01:52:01,user_avanzado_1,compleja,Predicciones de mercado,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.7240383625030518,2.9160284996032715
2024-12-24 01:51:59,2024-12-24 01:52:02,user_intermedio_2,simple,Cambiar mi suscripción,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.5977804660797119,2.458313226699829
2024-12-24 01:52:00,2024-12-24 01:52:02,user_basico_2,simple,Consulta general,"{""demanda_predicha"": 1.3309229612350464, ""longitud"": 16, ""tipo"": ""simple""}",1.3309229612350464,encolada,0.5178816318511963,2.2267849445343018
2024-12-24 01:52:01,2024-12-24 01:52:04,user_avanzado_1,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.7705614566802979,2.518411636352539
2024-12-24 01:52:03,2024-12-24 01:52:06,user_intermedio_1,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.683647871017456,2.374114990234375
2024-12-24 01:52:05,2024-12-24 01:52:08,user_avanzado_1,compleja,Informe de rendimiento personalizado,"{""demanda_predicha"": 1.3128812313079834, ""longitud"": 36, ""tipo"": ""simple""}",1.3128812313079834,encolada,0.8484597206115723,2.701744794845581
2024-12-24 01:52:07,2024-12-24 01:52:09,user_basico_3,simple,Información de contacto,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.735663890838623,2.406952142715454
2024-12-24 01:52:07,2024-12-24 01:52:09,user_intermedio_1,codigo,Ejecución de script simple,"{""demanda_predicha"": 1.3143941164016724, ""longitud"": 26, ""tipo"": ""simple""}",1.3143941164016724,encolada,0.6439416408538818,2.404597759246826
2024-12-24 01:52:08,2024-12-24 01:52:13,user_avanzado_3,compleja,Análisis avanzado de datos,"{""demanda_predicha"": 3.2124698162078857, ""longitud"": 26, ""tipo"": ""compleja""}",3.2124698162078857,encolada,1.5810682773590088,4.811903476715088
2024-12-24 01:52:08,2024-12-24 01:52:13,user_avanzado_1,compleja,Análisis avanzado de datos,"{""demanda_predicha"": 3.2124698162078857, ""longitud"": 26, ""tipo"": ""compleja""}",3.2124698162078857,encolada,1.6881301403045654,4.7168967723846436
2024-12-24 01:52:12,2024-12-24 01:52:15,user_intermedio_3,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.6497783660888672,2.842127799987793
2024-12-24 01:52:12,2024-12-24 01:52:15,user_basico_3,simple,Información de contacto,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.6163969039916992,2.7927730083465576
2024-12-24 01:52:16,2024-12-24 01:52:18,user_intermedio_3,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.5559213161468506,2.300575017929077
2024-12-24 01:52:14,2024-12-24 01:52:19,user_avanzado_1,codigo,Depuración de código,"{""demanda_predicha"": 4.321068286895752, ""longitud"": 20, ""tipo"": ""codigo""}",4.321068286895752,encolada,2.1289825439453125,5.46541690826416
2024-12-24 01:52:14,2024-12-24 01:52:20,user_avanzado_2,codigo,Depuración de código,"{""demanda_predicha"": 4.321068286895752, ""longitud"": 20, ""tipo"": ""codigo""}",4.321068286895752,encolada,2.325295925140381,5.5608813762664795
2024-12-24 01:52:18,2024-12-24 01:52:21,user_basico_2,simple,Información de contacto,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.6530618667602539,2.9184727668762207
2024-12-24 01:52:20,2024-12-24 01:52:23,user_avanzado_2,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.7803564071655273,2.4682230949401855
2024-12-24 01:52:21,2024-12-24 01:52:23,user_avanzado_2,compleja,Predicciones de mercado,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.670663595199585,2.4077889919281006
2024-12-24 01:52:21,2024-12-24 01:52:23,user_intermedio_2,codigo,Ejecución de script simple,"{""demanda_predicha"": 1.3143941164016724, ""longitud"": 26, ""tipo"": ""simple""}",1.3143941164016724,encolada,0.6764912605285645,2.3763999938964844
2024-12-24 01:52:24,2024-12-24 01:52:27,user_avanzado_3,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.7658200263977051,2.531416416168213
2024-12-24 01:52:25,2024-12-24 01:52:27,user_basico_1,simple,Consulta general,"{""demanda_predicha"": 1.3309229612350464, ""longitud"": 16, ""tipo"": ""simple""}",1.3309229612350464,encolada,0.6604053974151611,2.2513322830200195
2024-12-24 01:52:25,2024-12-24 01:52:27,user_intermedio_1,compleja,Informe de uso del último mes,"{""demanda_predicha"": 1.3097200393676758, ""longitud"": 29, ""tipo"": ""simple""}",1.3097200393676758,encolada,0.8178198337554932,2.7470314502716064
2024-12-24 01:52:23,2024-12-24 01:52:28,user_avanzado_1,compleja,Análisis avanzado de datos,"{""demanda_predicha"": 3.2124698162078857, ""longitud"": 26, ""tipo"": ""compleja""}",3.2124698162078857,encolada,1.5867319107055664,4.166208744049072
2024-12-24 01:52:28,2024-12-24 01:52:30,user_avanzado_2,compleja,Informe de rendimiento personalizado,"{""demanda_predicha"": 1.3128812313079834, ""longitud"": 36, ""tipo"": ""simple""}",1.3128812313079834,encolada,0.6965734958648682,2.5950331687927246
2024-12-24 01:52:29,2024-12-24 01:52:32,user_basico_3,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.6260995864868164,2.400219440460205
2024-12-24 01:52:30,2024-12-24 01:52:33,user_intermedio_3,simple,Cambiar mi suscripción,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7312850952148438,2.5219061374664307
2024-12-24 01:52:31,2024-12-24 01:52:34,user_avanzado_3,compleja,Optimización de modelo de ML,"{""demanda_predicha"": 1.311086893081665, ""longitud"": 28, ""tipo"": ""simple""}",1.311086893081665,encolada,0.6541049480438232,2.512573480606079
2024-12-24 01:52:29,2024-12-24 01:52:35,user_avanzado_2,codigo,Ejecución de código Python complejo,"{""demanda_predicha"": 4.088248252868652, ""longitud"": 35, ""tipo"": ""codigo""}",4.088248252868652,encolada,2.301807403564453,6.102975368499756
2024-12-24 01:52:35,2024-12-24 01:52:37,user_intermedio_3,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.641709566116333,2.3174235820770264
2024-12-24 01:52:35,2024-12-24 01:52:37,user_basico_3,simple,Consulta general,"{""demanda_predicha"": 1.3309229612350464, ""longitud"": 16, ""tipo"": ""simple""}",1.3309229612350464,encolada,0.7281112670898438,2.709958076477051
2024-12-24 01:52:36,2024-12-24 01:52:39,user_avanzado_1,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.7516725063323975,2.515031099319458
2024-12-24 01:52:35,2024-12-24 01:52:39,user_avanzado_1,compleja,Análisis avanzado de datos,"{""demanda_predicha"": 3.2124698162078857, ""longitud"": 26, ""tipo"": ""compleja""}",3.2124698162078857,encolada,1.7117846012115479,4.417303085327148
2024-12-24 01:52:39,2024-12-24 01:52:41,user_intermedio_1,codigo,Ejecución de script simple,"{""demanda_predicha"": 1.3143941164016724, ""longitud"": 26, ""tipo"": ""simple""}",1.3143941164016724,encolada,0.6171913146972656,2.7877209186553955
2024-12-24 01:52:40,2024-12-24 01:52:43,user_avanzado_3,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.7507712841033936,2.901221752166748
2024-12-24 01:52:41,2024-12-24 01:52:43,user_avanzado_1,compleja,Informe de rendimiento personalizado,"{""demanda_predicha"": 1.3128812313079834, ""longitud"": 36, ""tipo"": ""simple""}",1.3128812313079834,encolada,0.6861324310302734,2.430589199066162
2024-12-24 01:52:42,2024-12-24 01:52:45,user_basico_3,simple,Consulta general,"{""demanda_predicha"": 1.3309229612350464, ""longitud"": 16, ""tipo"": ""simple""}",1.3309229612350464,encolada,0.4786722660064697,2.511495590209961
2024-12-24 01:52:44,2024-12-24 01:52:47,user_avanzado_3,compleja,Informe de rendimiento personalizado,"{""demanda_predicha"": 1.3128812313079834, ""longitud"": 36, ""tipo"": ""simple""}",1.3128812313079834,encolada,0.7340385913848877,2.491476058959961
2024-12-24 01:52:43,2024-12-24 01:52:47,user_intermedio_1,compleja,Análisis de datos de mi cuenta,"{""demanda_predicha"": 3.2025277614593506, ""longitud"": 30, ""tipo"": ""compleja""}",3.2025277614593506,encolada,1.6517748832702637,4.337563753128052
2024-12-24 01:52:44,2024-12-24 01:52:48,user_avanzado_1,codigo,Automatización de tareas con scripts,"{""demanda_predicha"": 1.3128812313079834, ""longitud"": 36, ""tipo"": ""simple""}",1.3128812313079834,encolada,0.9283215999603271,3.2779483795166016
2024-12-24 01:52:48,2024-12-24 01:52:50,user_basico_1,simple,Consulta general,"{""demanda_predicha"": 1.3309229612350464, ""longitud"": 16, ""tipo"": ""simple""}",1.3309229612350464,encolada,0.6949028968811035,2.3733935356140137
2024-12-24 01:52:48,2024-12-24 01:52:51,user_avanzado_3,compleja,Predicciones de mercado,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.676846981048584,2.901540994644165
2024-12-24 01:52:50,2024-12-24 01:52:53,user_intermedio_3,compleja,Solicitud de integración con API,"{""demanda_predicha"": 1.3107144832611084, ""longitud"": 32, ""tipo"": ""simple""}",1.3107144832611084,encolada,0.7736585140228271,2.7665414810180664
2024-12-24 01:52:49,2024-12-24 01:52:54,user_avanzado_2,compleja,Análisis avanzado de datos,"{""demanda_predicha"": 3.2124698162078857, ""longitud"": 26, ""tipo"": ""compleja""}",3.2124698162078857,encolada,1.53739595413208,4.680141925811768
2024-12-24 01:52:51,2024-12-24 01:52:55,user_avanzado_2,compleja,Análisis avanzado de datos,"{""demanda_predicha"": 3.2124698162078857, ""longitud"": 26, ""tipo"": ""compleja""}",3.2124698162078857,encolada,1.6288769245147705,4.134556293487549
2024-12-24 01:52:53,2024-12-24 01:52:56,user_basico_3,simple,Consulta general,"{""demanda_predicha"": 1.3309229612350464, ""longitud"": 16, ""tipo"": ""simple""}",1.3309229612350464,encolada,0.6382954120635986,2.2602834701538086
2024-12-24 01:52:54,2024-12-24 01:52:57,user_avanzado_1,codigo,Automatización de tareas con scripts,"{""demanda_predicha"": 1.3128812313079834, ""longitud"": 36, ""tipo"": ""simple""}",1.3128812313079834,encolada,0.9092457294464111,2.6577367782592773
2024-12-24 01:52:55,2024-12-24 01:52:57,user_intermedio_3,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.6784305572509766,2.397047758102417
2024-12-24 01:52:56,2024-12-24 01:52:58,user_avanzado_3,compleja,Optimización de modelo de ML,"{""demanda_predicha"": 1.311086893081665, ""longitud"": 28, ""tipo"": ""simple""}",1.311086893081665,encolada,0.5948154926300049,2.3600847721099854
2024-12-24 01:52:58,2024-12-24 01:53:01,user_intermedio_1,simple,Duda sobre la factura,"{""demanda_predicha"": 1.322662353515625, ""longitud"": 21, ""tipo"": ""simple""}",1.322662353515625,encolada,0.5769340991973877,2.25588321685791
2024-12-24 01:52:59,2024-12-24 01:53:01,user_avanzado_2,compleja,Optimización de modelo de ML,"{""demanda_predicha"": 1.311086893081665, ""longitud"": 28, ""tipo"": ""simple""}",1.311086893081665,encolada,0.7057430744171143,2.519094228744507
2024-12-24 01:53:00,2024-12-24 01:53:02,user_basico_3,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7724213600158691,2.537245273590088
2024-12-24 01:52:58,2024-12-24 01:53:04,user_avanzado_2,codigo,Ejecución de código Python complejo,"{""demanda_predicha"": 4.088248252868652, ""longitud"": 35, ""tipo"": ""codigo""}",4.088248252868652,encolada,2.4644765853881836,5.919042348861694
2024-12-24 01:53:02,2024-12-24 01:53:05,user_intermedio_2,simple,Consulta sobre mi plan,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.7320475578308105,2.963824510574341
2024-12-24 01:53:03,2024-12-24 01:53:05,user_avanzado_3,codigo,Integración de API avanzada,"{""demanda_predicha"": 1.312740445137024, ""longitud"": 27, ""tipo"": ""simple""}",1.312740445137024,encolada,0.7615456581115723,2.4369089603424072
2024-12-24 01:53:05,2024-12-24 01:53:08,user_basico_3,simple,Duda sobre el servicio,"{""demanda_predicha"": 1.3210086822509766, ""longitud"": 22, ""tipo"": ""simple""}",1.3210086822509766,encolada,0.6499700546264648,2.4608445167541504
2024-12-24 01:53:05,2024-12-24 01:53:08,user_avanzado_2,compleja,Optimización de modelo de ML,"{""demanda_predicha"": 1.311086893081665, ""longitud"": 28, ""tipo"": ""simple""}",1.311086893081665,encolada,0.7900466918945312,2.5832345485687256
2024-12-24 01:53:06,2024-12-24 01:53:09,user_avanzado_2,compleja,Optimización de modelo de ML,"{""demanda_predicha"": 1.311086893081665, ""longitud"": 28, ""tipo"": ""simple""}",1.311086893081665,encolada,0.7812139987945557,2.5394585132598877
2024-12-24 01:53:07,2024-12-24 01:53:10,user_intermedio_3,compleja,Solicitud de integración con API,"{""demanda_predicha"": 1.3107144832611084, ""longitud"": 32, ""tipo"": ""simple""}",1.3107144832611084,encolada,0.7620797157287598,2.5252716541290283
2024-12-24 01:53:11,2024-12-24 01:53:13,user_basico_1,simple,Información de contacto,"{""demanda_predicha"": 1.3193550109863281, ""longitud"": 23, ""tipo"": ""simple""}",1.3193550109863281,encolada,0.6273376941680908,2.4002442359924316
2024-12-24 01:53:11,2024-12-24 01:53:14,user_intermedio_3,simple,Duda sobre la factura,"{""demanda_predicha"": 1.322662353515625, ""longitud"": 21, ""tipo"": ""simple""}",1.322662353515625,encolada,0.7058582305908203,2.812182664871216
2024-12-24 01:53:09,2024-12-24 01:53:15,user_avanzado_1,codigo,Depuración de código,"{""demanda_predicha"": 4.321068286895752, ""longitud"": 20, ""tipo"": ""codigo""}",4.321068286895752,encolada,2.143599271774292,5.979038715362549
2024-12-24 01:53:10,2024-12-24 01:53:16,user_avanzado_1,codigo,Depuración de código,"{""demanda_predicha"": 4.321068286895752, ""longitud"": 20, ""tipo"": ""codigo""}",4.321068286895752,encolada,2.3165595531463623,5.5504069328308105
